player1,player2,player3,player4,score1,score2,date
Emma Snyder,Tristan Salinas,,,21,6,2024-09-15
Seth Harward,John Sterling,,,21,11,2024-08-14
Seth Harward,Sayantani Battacharya,,,21,12,2024-10-02
Jared DeLeo,Seth Harward,,,21,8,2024-11-16
Sean Grate,Sayantani Battacharya,Kenny Powell,John Cobb,21,1,2024-12-09
Owen Henderschedt,John David Clifton,,,21,5,2024-09-09
John Sterling,Jared DeLeo,,,21,9,2024-10-26
Seth Harward,Jared DeLeo,,,21,17,2024-09-13
Jared DeLeo,John Cobb,,,21,4,2024-10-03
Sean Grate,James Zhong,,,21,16,2024-11-01
Tristan Salinas,Tim Eller,Seth Harward,Emma Snyder,21,6,2024-12-19
Kenny Powell,Daniel Hodgins,,,21,15,2024-12-28
Sean Grate,Seth Harward,John Sterling,Daniel Hodgins,21,0,2024-10-28
John Cobb,Tristan Salinas,John Sterling,Sean Grate,21,12,2024-12-27
John Cobb,Seth Harward,,,21,6,2024-09-26
Daniel Hodgins,Owen Henderschedt,,,21,9,2024-11-26
John David Clifton,John Cobb,,,21,12,2024-10-04
Kenny Powell,John David Clifton,Sean Grate,James Zhong,21,0,2024-11-30
John Sterling,John Cobb,,,21,1,2024-12-30
Daniel Hodgins,Tristan Salinas,,,21,3,2024-09-26
Emma Snyder,Tim Eller,,,21,12,2024-10-23
Owen Henderschedt,Sayantani Battacharya,Kenny Powell,John Sterling,21,12,2024-09-23
Jared DeLeo,James Zhong,,,21,3,2024-09-24
Daniel Hodgins,Seth Harward,,,21,20,2024-11-03
Sean Grate,Sayantani Battacharya,,,21,8,2024-12-08
John David Clifton,Sayantani Battacharya,,,21,13,2024-12-26
Daniel Hodgins,Emma Snyder,James Zhong,John David Clifton,21,13,2024-09-17
James Zhong,Daniel Hodgins,Jared DeLeo,John Cobb,21,6,2024-08-07
John David Clifton,John Sterling,,,21,6,2024-12-29
Emma Snyder,Seth Harward,,,21,6,2024-12-22
Kenny Powell,Tristan Salinas,,,21,20,2024-08-02
James Zhong,John Cobb,John David Clifton,Seth Harward,21,2,2024-08-12
John Sterling,Emma Snyder,,,21,12,2024-11-22
John Sterling,Emma Snyder,Daniel Hodgins,Tim Eller,21,10,2024-09-26
Seth Harward,James Zhong,Sean Grate,Sayantani Battacharya,21,11,2024-10-19
Emma Snyder,Owen Henderschedt,,,21,15,2024-08-26
